tra_v_genes	tra_j_genes	trb_v_genes	trb_j_genes	trb_c_genes	VAC	Fill	proportion
TRAV23/DV6	TRAJ44	TRBV29-1	TRBJ1-2	TRBC1	PREV	AB85	0.000165453
TRAV19	TRAJ23	TRBV2	TRBJ1-1	TRBC1	PREV	AB86	0.000165453
TRAV13-2/AV8-1	TRAJ4/AJ15	TRBV20-1	TRBJ2-3	TRBC2	PREV	AB87	0.000165453
TRAV8-2	TRAJ9	TRBV19	TRBJ2-7	TRBC2	PREV	AB88	0.000165453
TRAV22	TRAJ54	TRBV6-5	TRBJ1-2	TRBC1	PREV	AB89	0.000165453
TRAV17	TRAJ45	TRBV30	TRBJ2-1	TRBC2	PREV	AB90	0.000165453
TRAV24	TRAJ29	TRBV20-1	TRBJ1-2	TRBC1	PREV	AB91	0.000165453
TRAV1-2	TRAJ41	TRBV27	TRBJ2-7	TRBC2	PREV	AB92	0.000165453
TRAV12-2	TRAJ56	TRBV6-1	TRBJ1-1	TRBC1	PREV	AB93	0.000165453
TRAV17	TRAJ23	TRBV10-3	TRBJ2-7	TRBC2	PREV	AB94	0.000165453
TRAV5	TRAJ20	TRBV5-6	TRBJ2-7	TRBC2	PREV	AB95	0.000165453
TRAV19	TRAJ41	TRBV19	TRBJ2-1	TRBC2	PREV	AB96	0.000165453
TRAV12-2	TRAJ40	TRBV9	TRBJ2-7	TRBC2	PREV	AB97	0.000165453
TRAV4	TRAJ22	TRBV6-1	TRBJ2-7	TRBC2	PREV	AB98	0.000165453
TRAV4	TRAJ10	TRBV5-5	TRBJ1-2	TRBC1	PREV	AB99	0.000165453
TRAV38-1	TRAJ49	TRBV11-3	TRBJ1-1	TRBC1	PREV	AB100	0.000165453
TRAV29/DV5	TRAJ49	TRBV6-6	TRBJ2-7	TRBC2	PREV	AB101	0.000165453
TRAV8-4	TRAJ8	TRBV15	TRBJ1-2	TRBC1	PREV	AB102	0.000165453
TRAV4	TRAJ23	TRBV24-1	TRBJ2-3	TRBC2	PREV	AB103	0.000165453
TRAV27	TRAJ49	TRBV5-1	TRBJ2-7	TRBC2	PREV	AB104	0.000165453
TRAV10	TRAJ43	TRBV10-3	TRBJ2-7	TRBC2	PREV	AB105	0.000165453
TRAV38-1	TRAJ21	TRBV2	TRBJ1-1	TRBC1	PREV	AB106	0.000165453
TRAV2	TRAJ17	TRBV2	TRBJ2-5	TRBC2	PREV	AB107	0.000165453
TRAV8-2	TRAJ32	TRBV6-2	TRBJ2-7	TRBC2	PREV	AB108	0.000165453
TRAV34	TRAJ23	TRBV6-1	TRBJ2-6	TRBC2	PREV	AB109	0.000165453
TRAV9-2	TRAJ40	TRBV7-8	TRBJ1-3	TRBC1	PREV	AB110	0.000165453
TRAV1-2	TRAJ33	TRBV28	TRBJ2-6	TRBC2	PREV	AB111	0.000165453
TRAV22	TRAJ17	TRBV11-2	TRBJ2-2	TRBC2	PREV	AB112	0.000165453
TRAV21/AV12-2	TRAJ5/AJ15	TRBV7-2	TRBJ2-7	TRBC2	PREV	AB113	0.000165453
TRAV38-1	TRAJ57	TRBV7-9	TRBJ2-3	TRBC2	PREV	AB114	0.000165453
TRAV8-4	TRAJ29	TRBV20-1	TRBJ1-1	TRBC1	PREV	AB115	0.000165453
TRAV_NA	TRAJ_NA	TRBV6-6	TRBJ2-5	TRBC2	PREV	AB116	0.000165453
TRAV_NA	TRAJ_NA	TRBV30	TRBJ2-7	TRBC2	PREV	AB117	0.000165453
TRAV_NA	TRAJ_NA	TRBV30	TRBJ2-7	TRBC2	PREV	AB118	0.000165453
TRAV1-2	TRAJ33	TRBV20-1/BV29-1	TRBJ2-5/BJ2-1	TRBC2/BC2	PREV	AB119	0.000165453
TRAV1-2	TRAJ33	TRBV20-1	TRBJ1-1	TRBC1	PREV	AB120	0.000165453
TRAV39/AV8-4	TRAJ52/AJ8	TRBV5-4/BV20-1	TRBJ2-5/BJ2-7	TRBC2/BC2	PREV	AB121	0.000165453
TRAV_NA	TRAJ_NA	TRBV25-1	TRBJ2-7	TRBC2	PREV	AB122	0.000165453
TRAV25	TRAJ37	TRBV_NA	TRBJ_NA	TRBC_NA	PREV	AB123	0.000165453
TRAV25	TRAJ37	TRBV_NA	TRBJ_NA	TRBC_NA	PREV	AB124	0.000165453
TRAV25	TRAJ37	TRBV_NA	TRBJ_NA	TRBC_NA	PREV	AB125	0.000165453
TRAV_NA	TRAJ_NA	TRBV30	TRBJ1-1	TRBC1	PREV	AB126	0.000165453
TRAV_NA	TRAJ_NA	TRBV28	TRBJ2-4	TRBC2	PREV	AB127	0.000165453
TRAV1-1	TRAJ3	TRBV30/BV6-2	TRBJ2-4/BJ1-1	TRBC2/BC1	PREV	AB128	0.000165453
TRAV1-2	TRAJ20	TRBV20-1	TRBJ2-1	TRBC2	PREV	AB129	0.000165453
TRAV12-2	TRAJ23	TRBV29-1	TRBJ2-7	TRBC2	PREV	AB130	0.000165453
TRAV17	TRAJ15	TRBV3-1	TRBJ2-2	TRBC2	PREV	AB131	0.000165453
TRAV35	TRAJ41	TRBV15	TRBJ2-5	TRBC2	PREV	AB132	0.000165453
TRAV12-1	TRAJ11	TRBV30	TRBJ2-7	TRBC2	PREV	AB133	0.000165453
TRAV21	TRAJ8	TRBV28	TRBJ2-7	TRBC2	PREV	AB134	0.000165453
TRAV8-1	TRAJ8	TRBV30	TRBJ2-7	TRBC2	PREV	AB135	0.000165453
TRAV3	TRAJ29	TRBV20-1	TRBJ2-1	TRBC2	PREV	AB136	0.000165453
TRAV8-3	TRAJ39	TRBV20-1	TRBJ2-5	TRBC2	PREV	AB137	0.000165453
TRAV8-3	TRAJ21	TRBV24-1	TRBJ1-2	TRBC1	PREV	AB138	0.000165453
TRAV20	TRAJ4	TRBV20-1	TRBJ2-7	TRBC2	PREV	AB139	0.000165453
TRAV8-3	TRAJ44	TRBV7-9	TRBJ1-2	TRBC1	PREV	AB140	0.000165453
TRAV21	TRAJ50	TRBV10-1	TRBJ1-2	TRBC1	PREV	AB141	0.000165453
TRAV13-1	TRAJ53	TRBV20-1	TRBJ2-7	TRBC2	PREV	AB142	0.000165453
TRAV_NA	TRAJ_NA	TRBV30	TRBJ2-7	TRBC2	PREV	AB143	0.000165453
TRAV_NA	TRAJ_NA	TRBV20-1	TRBJ1-2	TRBC1	PREV	AB144	0.000165453
TRAV_NA	TRAJ_NA	TRBV11-2	TRBJ2-5	TRBC2	PREV	AB145	0.000165453
TRAV_NA	TRAJ_NA	TRBV4-1	TRBJ2-7	TRBC2	PREV	AB146	0.000165453
TRAV_NA	TRAJ_NA	TRBV4-2	TRBJ2-2	TRBC2	PREV	AB147	0.000165453
TRAV_NA	TRAJ_NA	TRBV15	TRBJ2-3	TRBC2	PREV	AB148	0.000165453
TRAV_NA	TRAJ_NA	TRBV15	TRBJ1-5	TRBC1	PREV	AB149	0.000165453
TRAV1-2	TRAJ9	TRBV5-6	TRBJ1-1	TRBC1	PREV	AB150	0.000165453
TRAV12-2	TRAJ40	TRBV6-1	TRBJ2-1	TRBC2	PREV	AB151	0.000165453
TRAV12-3/AV8-1	TRAJ30/AJ30	TRBV18/BV20-1	TRBJ2-7/BJ1-1	TRBC2/BC1	PREV	AB152	0.000165453
TRAV25	TRAJ35	TRBV19	TRBJ1-1	TRBC1	PREV	AB153	0.000165453
TRAV21	TRAJ47	TRBV6-2	TRBJ2-3	TRBC2	PREV	AB154	0.000165453
TRAV20	TRAJ42	TRBV20-1	TRBJ2-3	TRBC2	PREV	AB155	0.000165453
TRAV35	TRAJ10	TRBV2/BV28	TRBJ1-6/BJ2-1	TRBC1/BC2	PREV	AB156	0.000165453
TRAV13-1	TRAJ15	TRBV29-1	TRBJ2-1	TRBC2	PREV	AB157	0.000165453
TRAV13-2	TRAJ36	TRBV18	TRBJ1-1	TRBC1	PREV	AB158	0.000165453
TRAV8-2	TRAJ43	TRBV7-6	TRBJ2-7	TRBC2	PREV	AB159	0.000165453
TRAV21	TRAJ35	TRBV30	TRBJ1-4	TRBC1	PREV	AB160	0.000165453
TRAV3	TRAJ5	TRBV29-1	TRBJ1-5	TRBC1	PREV	AB161	0.000165453
TRAV9-2	TRAJ9	TRBV28	TRBJ2-1	TRBC2	PREV	AB162	0.000165453
TRAV8-3	TRAJ29	TRBV30	TRBJ2-5	TRBC2	PREV	AB163	0.000165453
TRAV12-2	TRAJ49	TRBV2	TRBJ2-1	TRBC2	PREV	AB164	0.000165453
TRAV38-1	TRAJ34	TRBV20-1	TRBJ1-6	TRBC1	PREV	AB165	0.000165453
TRAV9-2	TRAJ45	TRBV6-6	TRBJ2-3	TRBC2	PREV	AB166	0.000165453
TRAV29/DV5/AV38-2/DV8	TRAJ47/AJ13	TRBV12-3	TRBJ1-2	TRBC1	PREV	AB167	0.000165453
TRAV29/DV5	TRAJ34	TRBV30	TRBJ2-1	TRBC2	PREV	AB168	0.000165453
TRAV6	TRAJ28	TRBV12-4	TRBJ1-1	TRBC1	PREV	AB169	0.000165453
TRAV13-1	TRAJ8	TRBV_NA	TRBJ_NA	TRBC_NA	PREV	AB170	0.000165453
TRAV_NA	TRAJ_NA	TRBV6-4	TRBJ2-3	TRBC2	PREV	AB171	0.000165453
TRAV_NA	TRAJ_NA	TRBV6-5	TRBJ1-1	TRBC1	PREV	AB172	0.000165453
TRAV_NA	TRAJ_NA	TRBV6-5	TRBJ1-5	TRBC1	PREV	AB173	0.000165453
TRAV_NA	TRAJ_NA	TRBV6-2	TRBJ2-5	TRBC2	PREV	AB174	0.000165453
TRAV_NA	TRAJ_NA	TRBV20-1	TRBJ2-7	TRBC2	PREV	AB175	0.000165453
TRAV_NA	TRAJ_NA	TRBV2	TRBJ1-1	TRBC1	PREV	AB176	0.000165453
TRAV_NA	TRAJ_NA	TRBV28	TRBJ1-5	TRBC1	PREV	AB177	0.000165453
TRAV_NA	TRAJ_NA	TRBV7-9	TRBJ1-1	TRBC1	PREV	AB178	0.000165453
TRAV_NA	TRAJ_NA	TRBV7-9	TRBJ2-1	TRBC2	PREV	AB179	0.000165453
TRAV_NA	TRAJ_NA	TRBV7-3	TRBJ1-1	TRBC1	PREV	AB180	0.000165453
TRAV_NA	TRAJ_NA	TRBV7-2	TRBJ2-7	TRBC2	PREV	AB181	0.000165453
TRAV_NA	TRAJ_NA	TRBV5-1	TRBJ1-1	TRBC1	PREV	AB182	0.000165453
TRAV4	TRAJ43	TRBV29-1	TRBJ2-1	TRBC2	PREV	AB183	0.000165453
TRAV1-1	TRAJ6	TRBV6-1	TRBJ2-7	TRBC2	PREV	AB184	0.000165453
TRAV8-3	TRAJ43	TRBV6-1	TRBJ2-4	TRBC2	PREV	AB185	0.000165453
TRAV13-1	TRAJ49	TRBV27	TRBJ2-4	TRBC2	PREV	AB186	0.000165453
TRAV17	TRAJ31	TRBV19	TRBJ1-5	TRBC1	PREV	AB187	0.000165453
TRAV12-2	TRAJ5	TRBV6-1	TRBJ2-1	TRBC2	PREV	AB188	0.000165453
TRAV13-2	TRAJ49	TRBV10-3	TRBJ1-1	TRBC1	PREV	AB189	0.000165453
TRAV13-1	TRAJ17	TRBV6-6	TRBJ2-7	TRBC2	PREV	AB190	0.000165453
